0.0655	0.000075
0.192	0.00215
0.0175	0.0005
0.0039	0.00095
0.0055	0.00062
0.012	0.00095
0.004	0.0005
0.0025	0.0005
0.015	0.00062
0.003	0.0005
0.004	0.00062
0.005	0.0014
0.004	0.00075
0.0375	0.00115
0.009	0.00095
0.007	0.00006
0.0309	0.00075
0.0117	0.000075
0.0532	0.00014
0.0285	0.0004
0.041	0.00115
0.018	0.00014
0.0065	0.00095
0.009	0.00075
0.0125	0.00075
0.036	0.00062
0.07	0.0005
0.0071	0.0005
0.0225	0.00115
0.00061	0.00014
0.034	0.000095
0.157	0.00075
0.017	0.0032
0.008	0.0014
0.0135	0.00175
0.008	0.00075
0.004	0.000175
0.0025	0.000265
0.012	0.000095
0.013	0.000175
0.005	0.000075
0.006	0.000075
0.002	0.000075
0.004	0.000095
0.0007	0.00014
0.004	0.000095
0.007	0.000095
0.007	0.0015
0.005	0.000215
0.028	0.000215
0.003	0.0005
0.009	0.00014
0.027	0.000215
0.052	0.00095
0.013	0.0024
0.024	0.000095
0.112	0.000265
0.078	0.00033
0.014	0.000095
0.013	0.00014
0.012	0.000095
0.047	0.005
0.015	0.00095
0.003	0.00014
0.022	0.00075
0.003	0.000265
0.018	0.000075
0.005	0.000075
0.002	0.0005
0.001	0.00014
0.004	0.000095
0.004	0.0005
0.04	0.0005
0.02	0.000095
0.006	0.000075
0.061	0.0005
0.002	0.0042
0.012	0.000265
0.011	0.00014
0.018	0.00005
0.036	0.000215
0.008	0.00005
0.02	0.00005
0.001	0.000075
0.025	0.000075
0.01	0.000095
0.003	0.000095
0.001	0.00014
0.003	0.000075
0.059	0.00115
0.003	0.000075
0.017	0.000175
0.002	0.00033
0.001	0.00014
0.001	0.00033
0.001	0.00062
0.004	0.000215
0.002	0.00115
0.002	0.0005
0.013	0.000095
0.001	0.000075
0.001	0.00115
0.006	0.000265
0.001	0.0005
0.021	0.000075
0.026	0.000095
0.017	0.000075
0.003	0.00014
0.032	0.0029
0.001	0.00005
0.001	0.00014
0.001	0.00005
0.019	0.0005
0.027	0.00014
0.002	0.00014
0.002	0.00005
0.012	0.000175
0.003	0.000265
0.012	0.000175
0.009	0.00062
0.0015	0.00014
0.001	0.000215
0.008	0.00005
0.001	0.000215
0.001	0.00014
0.011	0.00014
0.003	0.00095
0.012	0.00005
0.006	0.018
0.005	0.000075
0.003	0.000095
0.005	0.00014
0.002	0.000175
0.009	0.00014
0.006	0.000095
0.001	0.00075
0.001	0.000075
0.002	0.000095
0.005	0.00014
0.003	0.000095
0.001	0.00062
0.005	0.00062
0.023	0.00005
0.005	0.000095
0.011	0.00033
0.004	0.000075
0.001	0.00005
0.002	0.00014
0.015	0.000075
0.03	0.000215
0.038	0.00014
0.004	0.000075
0.011	0.00006
0.05	0.00075
0.016	0.00006
0.006	0.00005
0.004	0.00005
0.013	0.00005
0.034	0.000095
0.007	0.00005
0.002	0.00005
0.001	0.00005
0.01	0.00005
0.004	0.00005
0.011	0.00005
0.072	0.00005
0.042	0.00115
0.036	0.0004
0.07	0.00005
0.042	0.00005
0.046	0.00005
0.004	0.000095
0.011	0.00005
0.001	0.00005
0.039	0.00005
0.003	0.000095
0.013	0.00005
0.003	0.00005
0.006	0.00006
0.055	0.00005
0.053	0.000075
0.058	0.00005
0.009	0.000095
0.001	0.00005
0.001	0.00005
0.004	0.00095
0.0015	0.000075
0.01	0.00005
0.012	0.000095
0.013	0.00005
0.003	0.00005
0.001	0.00033
0.016	0.0004
0.068	0.000075
0.002	0.0004
0.005	0.000265
0.212	0.00005
0.121	0.000215
0.06	0.0004
0.095	0.000095
0.086	0.00006
0.128	0.0005
0.043	0.0005
0.048	0.0004
0.08	0.00006
0.0025	0.000175
0.00404	0.00075
0.00115	0.00075
0.0005	0.0005
0.07	0.000075
0.01	0.0014
0.048	0.00014
0.283	0.000175
0.021	0.00062
0.044	0.000095
0.002	0.00014
0.02	0.00075
0.009	0.00005
0.003	0.00005
0.024	0.00005
0.085	0.00005
0.026	0.00005
0.004	0.000075
0.003	0.00006
0.003	0.000175
0.004	0.000115
0.018	0.00062
0.025	0.000075
0.039	0.000095
0.003	0.000075
0.071	0.00175
0.047	0.00005
0.014	0.000215
0.071	0.00062
0.015	0.0004
